"idRegistro";"bytesEnviados";"bytesRecebidos";"armUsadoPercent";"ramUsadoPercent";"cpuUsadoPercent";"qtdProcessos";"dataHora"
1;0.0;0.0;30.1;77.8;11.4;249;"2025-04-21 17:50:09"
2;0.0;0.0;30.1;78.1;5.3;249;"2025-04-21 17:50:19"
3;2094.0;0.0;30.1;78.1;6.7;248;"2025-04-21 17:50:29"
4;0.0;0.0;30.1;77.9;4.9;248;"2025-04-21 17:50:39"
5;0.0;0.0;30.1;78.0;3.4;248;"2025-04-21 17:50:49"
6;915.0;574.0;30.1;78.0;6.5;248;"2025-04-21 17:50:59"
7;0.0;0.0;30.1;78.0;3.5;248;"2025-04-21 17:51:09"
8;0.0;0.0;30.1;78.0;3.4;247;"2025-04-21 17:51:19"
9;0.0;0.0;30.1;78.0;6.0;246;"2025-04-21 17:51:29"
10;0.0;0.0;30.1;78.0;2.1;246;"2025-04-21 17:51:39"
11;0.0;0.0;30.1;77.1;8.5;246;"2025-04-21 17:51:49"
12;347.0;316.0;30.1;77.1;3.3;246;"2025-04-21 17:51:59"
13;0.0;0.0;30.1;76.2;4.5;252;"2025-04-21 17:52:11"
14;82.0;138.0;30.1;84.0;67.7;256;"2025-04-21 17:52:26"
15;260.0;0.0;30.1;89.0;34.8;257;"2025-04-21 17:52:38"
16;0.0;0.0;30.1;87.8;49.7;262;"2025-04-21 17:52:51"
17;204.0;292.0;30.1;89.6;21.5;260;"2025-04-21 17:53:03"
18;75.0;74.0;30.1;84.3;11.4;260;"2025-04-21 17:53:13"
19;0.0;0.0;30.1;84.3;4.8;260;"2025-04-21 17:53:24"
20;0.0;0.0;30.1;83.7;20.7;260;"2025-04-21 17:53:34"
21;75.0;86.0;30.1;83.1;3.7;260;"2025-04-21 17:53:44"
22;0.0;0.0;30.1;83.1;11.3;259;"2025-04-21 17:53:55"
23;0.0;0.0;30.1;83.2;5.3;258;"2025-04-21 17:54:05"
24;54.0;10710.0;30.1;83.1;5.4;260;"2025-04-21 17:54:16"
25;0.0;0.0;30.1;84.9;20.3;259;"2025-04-21 17:54:26"
26;404.0;348.0;30.1;84.7;5.6;259;"2025-04-21 17:54:37"
27;0.0;0.0;30.1;84.9;3.6;259;"2025-04-21 17:54:47"
28;336.0;570.0;30.1;84.5;6.0;259;"2025-04-21 17:54:57"
29;238.0;172.0;30.1;85.1;8.4;258;"2025-04-21 17:55:08"
30;0.0;0.0;30.1;84.5;4.3;257;"2025-04-21 17:55:18"
31;0.0;0.0;30.1;84.2;4.0;257;"2025-04-21 17:55:28"
32;0.0;0.0;30.1;84.4;3.5;257;"2025-04-21 17:55:39"
33;136.0;527.0;30.1;84.4;3.9;257;"2025-04-21 17:55:49"
34;347.0;315.0;30.1;84.4;3.4;257;"2025-04-21 17:55:59"
35;0.0;0.0;30.1;84.5;4.6;257;"2025-04-21 17:56:09"
36;0.0;0.0;30.1;84.3;3.9;257;"2025-04-21 17:56:19"
37;0.0;0.0;30.1;84.5;2.5;257;"2025-04-21 17:56:29"
38;322.0;673.0;30.1;84.4;8.1;257;"2025-04-21 17:56:40"
39;0.0;0.0;30.1;83.8;4.7;257;"2025-04-21 17:56:50"
40;296.0;452.0;30.1;83.8;3.8;257;"2025-04-21 17:57:00"
41;0.0;0.0;30.1;83.7;3.9;256;"2025-04-21 17:57:10"
42;0.0;0.0;30.1;83.8;7.4;256;"2025-04-21 17:57:21"
43;0.0;0.0;30.1;84.0;1.6;256;"2025-04-21 17:57:31"
44;6937.0;6594.0;30.1;83.7;5.9;256;"2025-04-21 17:57:41"
45;54.0;375.0;30.1;83.7;1.7;256;"2025-04-21 17:57:51"
46;0.0;0.0;30.1;83.7;5.2;256;"2025-04-21 17:58:01"
47;42.0;60.0;30.1;83.7;2.9;256;"2025-04-21 17:58:11"
48;7238.0;7424.0;30.1;83.7;1.4;256;"2025-04-21 17:58:21"
49;0.0;0.0;30.1;83.7;5.7;256;"2025-04-21 17:58:31"
50;242.0;210.0;30.1;83.8;9.3;256;"2025-04-21 17:58:41"
51;0.0;0.0;30.1;83.9;1.2;256;"2025-04-21 17:58:51"
52;0.0;0.0;30.1;83.7;1.4;256;"2025-04-21 17:59:01"
53;347.0;315.0;30.1;83.7;1.4;256;"2025-04-21 17:59:11"
54;16725.0;1089486.0;30.1;83.9;2.7;256;"2025-04-21 17:59:21"
55;0.0;0.0;30.1;84.0;1.3;256;"2025-04-21 17:59:31"
56;0.0;0.0;30.1;83.8;3.6;256;"2025-04-21 17:59:41"
57;106.0;122.0;30.1;83.8;2.1;256;"2025-04-21 17:59:51"
58;0.0;0.0;30.1;83.7;6.3;255;"2025-04-21 18:00:01"
59;128.0;138.0;30.1;83.9;17.8;256;"2025-04-21 18:00:11"
60;82.0;78.0;30.1;83.9;2.6;256;"2025-04-21 18:00:21"
61;4595.0;375.0;30.1;83.9;4.1;255;"2025-04-21 18:00:31"
62;42.0;60.0;30.1;83.6;3.1;255;"2025-04-21 18:00:41"
63;110.0;0.0;30.1;83.7;2.8;255;"2025-04-21 18:00:50"
64;0.0;0.0;30.1;83.8;10.7;255;"2025-04-21 18:01:01"
65;42.0;60.0;30.1;83.8;4.3;255;"2025-04-21 18:01:10"
66;0.0;0.0;30.1;83.8;3.5;255;"2025-04-21 18:01:20"
67;0.0;0.0;30.1;83.8;3.5;255;"2025-04-21 18:01:30"
68;42.0;60.0;30.1;83.8;3.1;255;"2025-04-21 18:01:40"
69;347.0;376.0;30.1;83.2;4.0;255;"2025-04-21 18:01:50"
70;0.0;0.0;30.1;83.1;2.6;255;"2025-04-21 18:02:00"
71;42.0;60.0;30.1;83.1;4.7;254;"2025-04-21 18:02:10"
72;0.0;0.0;30.1;83.5;6.4;259;"2025-04-21 18:02:21"
73;19895.0;1072592.0;30.1;83.3;8.2;259;"2025-04-21 18:02:31"
74;42.0;60.0;30.1;83.3;3.8;259;"2025-04-21 18:02:41"
75;12834.0;1127042.0;30.1;83.3;7.5;259;"2025-04-21 18:02:51"
76;12203.0;579101.0;30.1;83.6;6.2;259;"2025-04-21 18:03:01"
77;96.0;381.0;30.1;83.6;4.4;259;"2025-04-21 18:03:11"
78;0.0;0.0;30.1;83.6;3.8;257;"2025-04-21 18:03:21"
79;2748.0;268435.0;30.1;83.6;3.2;257;"2025-04-21 18:03:31"
80;42.0;60.0;30.1;83.6;2.8;257;"2025-04-21 18:03:41"
81;0.0;0.0;30.1;83.5;4.3;255;"2025-04-21 18:03:51"
82;0.0;0.0;30.1;83.5;4.0;255;"2025-04-21 18:04:01"
83;42.0;60.0;30.1;83.5;2.8;255;"2025-04-21 18:04:11"
84;82.0;138.0;30.1;83.0;4.3;255;"2025-04-21 18:04:21"
85;347.0;375.0;30.1;83.0;4.0;255;"2025-04-21 18:04:31"
86;42.0;60.0;30.1;83.1;2.6;255;"2025-04-21 18:04:41"
87;0.0;0.0;30.1;83.1;4.4;255;"2025-04-21 18:04:50"
88;90.0;0.0;30.1;83.2;3.8;255;"2025-04-21 18:05:00"
89;42.0;60.0;30.1;83.0;3.5;255;"2025-04-21 18:05:10"
90;0.0;0.0;30.1;83.5;12.6;255;"2025-04-21 18:05:20"
91;0.0;0.0;30.1;77.6;2.0;255;"2025-04-21 18:05:30"
92;0.0;0.0;30.1;77.6;3.6;255;"2025-04-21 18:05:40"
93;294.0;0.0;30.1;77.6;7.1;255;"2025-04-21 18:05:50"
94;86.0;86.0;30.1;77.7;4.0;255;"2025-04-21 18:06:00"
95;0.0;0.0;30.1;77.7;4.9;257;"2025-04-21 18:06:10"
96;0.0;0.0;30.1;78.1;4.4;257;"2025-04-21 18:06:20"
97;0.0;0.0;30.1;78.1;3.1;256;"2025-04-21 18:06:30"
